Genus	Pustular Layer 1 (0-2 mm)	Pustular Layer 2 (2-4 mm)	Pustular Layer 3 (4-6 mm)	Pustular Layer 4 (6-8 mm)	Pustular Layer 5 (8-10 mm)	Smooth Layer 1  (0-2 mm)	Smooth Layer 2  (2-4 mm)	Smooth Layer 3 (4-6 mm)	Smooth Layer 4 (6-8 mm)	Smooth Layer 5 (8-10 mm)	Smooth Layer 6 (10-12 mm)	Smooth Layer 7 (12-14 mm)	Smooth Layer 8 (14-16 mm)	Smooth Layer 9 (16-18 mm)	Smooth Layer 10 (18-20 mm)
Halogranum	15.13	9.06	12.82	12.93	2.44	0.13	0.03	1.34	0.35	0.34	0.16	1.06	2.39	0.05	0.18
Natronomonas	11.84	21.30	20.98	18.25	14.67	0.04	0.01	0.13	0.74	0.81	0.13	0.01	0.29	0.34	0.50
Halorhabdus	10.46	11.59	19.60	13.30	24.93	0.04	0.00	0.01	0.01	0.01	0.04	0.01	0.02	0.04	0.11
ArcF12	15.99	22.60	17.62	19.80	7.03	0.10	0.01	0.32	0.20	0.06	0.09	0.28	0.30	0.01	0.21
unclassified	33.99	23.68	16.95	22.19	34.10	83.12	72.31	75.39	77.72	73.59	73.76	78.42	52.12	70.94	71.90
Picrophilus	0.06	0.04	0.02	0.07	0.05	0.43	1.52	1.11	0.67	1.05	0.96	1.31	0.78	1.11	0.96
Methanofollis	0.03	0.01	0.01	0.01	0.04	0.42	9.86	8.06	5.73	7.22	3.47	8.34	4.98	4.90	1.47
Methanosphaerula	0.05	0.02	0.02	0.09	0.15	0.32	0.76	0.41	0.53	0.41	0.38	0.48	0.34	0.32	0.23
Methermicoccus	0.06	0.07	0.08	0.10	0.24	0.79	1.17	1.63	1.76	2.09	2.01	1.32	2.22	1.57	1.42
Halobacteriaceae	5.79	6.21	5.60	5.60	6.68	1.60	0.92	0.52	0.84	0.72	1.15	0.30	0.55	1.31	3.19
halophilic	0.16	0.16	0.29	0.17	0.33	4.14	7.02	1.37	0.95	3.75	0.94	1.45	0.35	0.58	0.75
Methanohalobium	0.09	0.08	0.15	0.04	0.26	0.60	0.32	2.77	0.56	0.52	1.24	2.71	2.26	4.46	0.85
Nitrosopumilus	1.22	0.38	0.66	2.62	1.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Candidatus_Nitrososphaera	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	23.42	0.00	0.00
Haloplanus	0.42	1.63	0.90	1.25	0.40	0.02	0.00	0.02	0.10	0.05	0.05	0.00	0.20	0.07	0.62
Sulfolobus	0.01	0.01	0.00	0.01	0.00	0.16	1.52	0.77	0.79	0.90	0.57	0.86	1.22	1.73	1.84
Methanolobus	0.00	0.00	0.00	0.00	0.00	1.10	0.29	0.00	0.26	0.53	0.05	0.01	0.29	0.15	0.10
Halorientalis	0.31	0.71	0.76	0.22	1.59	0.15	0.08	0.06	1.01	0.70	3.91	0.13	0.70	1.79	1.36
haloarchaeon	0.21	0.12	0.22	0.19	0.95	0.21	0.35	0.18	0.09	0.20	0.10	0.17	0.11	0.09	0.21
Halorussus	0.84	0.59	0.31	0.82	0.33	0.43	0.40	0.20	0.07	0.20	0.13	0.03	0.10	0.09	0.10
Halobellus	0.46	0.27	0.22	0.20	0.20	0.01	0.02	0.01	0.02	0.01	0.01	0.01	0.01	0.02	0.02
