Class	Layer 1 (0-2 mm)	Layer 1 (0-2 mm)	Layer 1 (0-2 mm)	Layer 2 (2-4 mm)	Layer 2 (2-4 mm)	Layer 2 (2-4 mm)	Layer 3 (4-6 mm)	Layer 3 (4-6 mm)	Layer 3 (4-6 mm)	Layer 4 (6-8 mm)	Layer 4 (6-8 mm)	Layer 4 (6-8 mm)	Layer 4 (6-8 mm)	Layer 5 (8-10 mm)	Layer 5 (8-10 mm)
Halobacteria	66.31	74.43	50.98	69.28	93.17	66.02	76.28	90.72	83.25	76	77.65	77.43	68.65	64.01	65.8
MBGB	0.15	0.02	0.01	0.01	0	0.02	0.1	0.01	0	0.03	0.01	0	0	0	0
Micrarchaea	0.01	0	0.01	0.01	0.01	0	0	0	0	0.02	0	0	0	0.01	0
Thermoplasmata	0.22	0.95	0.74	0.24	0.05	0.16	0.15	0.04	0.05	0.35	0.19	0.21	0.29	0.2	0.18
Parvarchaea	31.06	23.18	45.78	28.76	6.53	33.19	21.25	8.92	15.57	21.77	19.54	19.37	25.48	32.33	32.03
Methanomicrobia	0.23	0.21	0.37	0.38	0.08	0.11	0.42	0.1	0.34	0.25	0.33	0.2	0.26	0.65	0.88
Thaumarchaeota	1.55	0.84	1.74	0.92	0.03	0.26	1.43	0.1	0.54	1.31	2.05	2.56	4.93	2.15	0.52
Thermoprotei	0.17	0.05	0.04	0.02	0.02	0.02	0.04	0.03	0.05	0.04	0.02	0.04	0.05	0.05	0.21
Methanococci	0.11	0.1	0.04	0.04	0.02	0.02	0.02	0	0.03	0.07	0.03	0.03	0.08	0.09	0.11
Thermococci	0.11	0.1	0.2	0.16	0.05	0.14	0.07	0.07	0.06	0.06	0.06	0.08	0.1	0.17	0.12
Methanobacteria	0.01	0.02	0.02	0.02	0	0.01	0.02	0	0.02	0.02	0.01	0	0.03	0.03	0.02
DSEG	0	0	0.01	0.01	0	0	0.01	0	0	0	0.01	0.01	0.01	0.02	0.02
MCG	0	0.01	0	0.03	0.02	0	0.1	0	0	0	0	0	0	0.04	0.05
Aigarchaeota	0.07	0.09	0.07	0.1	0.02	0.04	0.11	0.01	0.07	0.08	0.1	0.07	0.1	0.23	0.07
Nanoarchaeoti	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MHVG	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00

