Class	Layer 1 (0-2 mm)	Layer 2 (2-4 mm)	Layer 3 (4-6 mm)	Layer 4 (6-8 mm)	Layer 5 (8-10 mm)	Layer 6 (10-12 mm)	Layer 7 (12-14 mm)	Layer 8 (14-16 mm)	Layer 9 (16-18 mm)	Layer 10 (18-20 mm)
Halobacteria	7.8	9.11	4.42	5.32	7.41	7.95	4	7.01	5.02	10.09
MBGB	1.1	19.42	9.61	9.79	14.62	6.66	17.56	4.37	7.36	6.2
Micrarchaea	6.26	4.11	5.81	8.93	8.92	6.37	19.98	6.23	6.42	3.2
Thermoplasmata	27.23	16.44	19.15	12	17.7	22.05	10.62	18.33	21.06	28.86
Parvarchaea	49.49	34.83	44	48.76	34.59	40.05	32.17	25.14	37.16	32.62
Methanomicrobia	4.38	12.95	13.06	9.11	11.26	7.55	12.96	10.36	11.82	4.86
Thaumarchaeota	0.52	0.07	0.02	0.04	0.07	0.05	0.01	23.54	0.06	0.16
Thermoprotei	0.3	1.63	0.84	1	1.16	0.76	0.94	1.73	2.72	3.4
Methanococci	0.38	0.25	1.03	1.13	0.97	1.44	0.28	0.53	1.23	1.2
Thermococci	1.28	0.81	0.9	2.79	1.99	3.5	0.94	1.59	4.69	5.17
Methanobacteria	0.9	0.19	0.94	0.51	0.64	2.05	0.33	0.7	1.35	1.57
DSEG	0.08	0.05	0.17	0.55	0.29	0.76	0.11	0.3	0.7	1.17
MCG	0.16	0.09	0	0.07	0.35	0.78	0.03	0.12	0.37	1.47
Aigarchaeota	0.13	0.04	0.03	0.01	0.03	0.02	0.03	0.03	0.03	0.03
MHVG	0	0.01	0.01	0	0	0	0.02	0	0	0.01
Nanoarchaeoti	0.01	0.02	0	0.01	0.01	0	0.01	0	0.01	0.01
